CustomerID,Name,Phone,Pattern
1,Elizabeth Hamilton,001-541-462-5095x60042,Seasonal
2,Edwin West,+1-639-644-0977x7882,Occasional
3,Donna Jackson,291-716-5506,Bulk
4,Tonya Rivas,+1-799-953-0239x18244,Regular
5,Jennifer Perez,416-599-1961x51868,Occasional
6,Anthony Hodge,639.817.1164,Occasional
7,Rita Garcia PhD,657-972-7733,Regular
8,Timothy Hickman,001-890-419-7211x4735,Regular
9,Devin Carpenter,(857)292-4135x539,Occasional
10,Cheryl Cole,+1-334-873-7228,Occasional
11,Stephanie Coleman,840-629-4841,Bulk
12,Paul Spears,+1-395-792-1664x90293,Regular
13,Phillip Allen,001-879-751-1498,Occasional
14,Shawn Taylor,001-809-453-9641x5363,Occasional
15,Devin Kim,999-885-8748,Seasonal
16,Amanda Smith,(456)617-7975x1011,Regular
17,Christian Robertson,7133219848,Regular
18,Kevin Guzman,579.255.2798x75703,Occasional
19,Barry Hansen,(318)918-1940x077,Occasional
20,Kenneth Smith,771-920-4055x621,Occasional
21,Nicole Williams,+1-213-766-4037x6626,Bulk
22,William Baker,001-998-843-3539x94815,Bulk
23,Janice Mendoza,737-779-4321x62739,Occasional
24,Jonathan Perry,738-608-3493x6705,Regular
25,Megan Mcgrath,001-937-364-5242x1480,Occasional
26,Tammy Rogers,001-851-592-3220,Occasional
27,Jeff Williams,(694)245-6542x64064,Bulk
28,Sarah Wright DVM,+1-976-322-0998,Seasonal
29,Allison Castillo,704.933.4527,Occasional
30,Sabrina Murphy,+1-798-521-6084x5222,Occasional
31,George Jackson,4149216581,Regular
32,Peter Foley,(213)244-4820,Seasonal
33,Cassie Brown,698.359.4444x371,Bulk
34,Angela Johnson,9614864473,Regular
35,Jody Anderson,772.479.8232,Occasional
36,Stephen Kelley,684-256-1874x09076,Occasional
37,Brandy Newton,571-482-2675x77749,Occasional
38,Christopher Reynolds,(241)640-2710x6960,Occasional
39,John Alvarado,(243)894-4049,Occasional
40,Kari Jones,627-637-6631x2624,Regular
41,Brett Reyes,(406)654-3228,Occasional
42,Shawn Young,(227)893-8555x2468,Occasional
43,Tamara Powers,+1-324-955-9028x2228,Seasonal
